PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=605 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=605 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=636 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=644 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=594 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=721 ms
